Video analysis detailed log

Face Model:	General
Calibration:	Calibration 1
Start time:	15/01/2020 19:56:00.757
Filename:	D:\Diana_Experiment1B\Videos\P028_Adobe\FACE_028_A1_Stim14.mp4
Frame rate:	50

Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted
00:00:00.000	0.149605800	0.000000000	0.951111000	0.000000000	0.000000000	0.000000000	0.000000000
00:00:00.020	0.149841800	0.000000000	0.951111000	0.000000000	0.000000000	0.000000000	0.000000000
00:00:00.040	0.173477800	0.001089621	0.915174700	0.000000000	0.001823589	0.000727926	0.000000000
00:00:00.060	0.198284300	0.002331621	0.868186300	0.009864549	0.002816346	0.002197252	0.000000000
00:00:00.080	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.100	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.120	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.140	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.160	0.302060900	0.003429772	0.721790000	0.007310957	0.006570458	0.010143880	0.000000000
00:00:00.180	0.315789600	0.005227048	0.697004900	0.006885788	0.007922577	0.012347150	0.000000000
00:00:00.200	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.220	0.289660700	0.004636767	0.722088300	0.006108189	0.007027895	0.010952810	0.000000000
00:00:00.240	0.291012300	0.012079260	0.716963800	0.005752966	0.006619187	0.010315850	0.000000000
00:00:00.260	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.280	0.273069200	0.010715170	0.731994900	0.005103294	0.005871695	0.009150899	0.000000000
00:00:00.300	0.269790700	0.010092030	0.732684700	0.004806512	0.005530226	0.008618728	0.000000000
00:00:00.320	0.273307000	0.010950180	0.727283100	0.004526989	0.005854382	0.008117505	0.000000000
00:00:00.340	0.262816900	0.010313370	0.737569400	0.004263722	0.005513920	0.007645431	0.000000000
00:00:00.360	0.260315700	0.009713593	0.738395200	0.004015765	0.005193258	0.007200811	0.000000000
00:00:00.380	0.258225400	0.009148698	0.739254400	0.003782228	0.004891244	0.006782047	0.000000000
00:00:00.400	0.276049600	0.009810400	0.716266300	0.003562272	0.006465355	0.006987269	0.000000000
00:00:00.420	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.440	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.460	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.480	0.266584000	0.007719769	0.721230000	0.002803139	0.005087565	0.005498257	0.000000000
00:00:00.500	0.265327800	0.007270826	0.721301100	0.002640123	0.004791697	0.005178506	0.000000000
00:00:00.520	0.265088400	0.006847990	0.719839200	0.002486586	0.004513036	0.004877349	0.000000000
