Video analysis detailed log

Face Model:	General
Calibration:	Calibration 1
Start time:	16/01/2020 20:47:14.920
Filename:	D:\Diana_Experiment1B\Videos\P030_Adobe\FACE_030_A1_Stim17.mp4
Frame rate:	50

Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted
00:00:00.000	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.020	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.040	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.060	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.080	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.100	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.120	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.140	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.160	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.180	0.606522600	0.262335300	0.000000000	0.000000000	0.023620110	0.000000000	0.000000000
00:00:00.200	0.603145200	0.257870600	0.017687660	0.000000000	0.022430620	0.003137530	0.000000000
00:00:00.220	0.599885200	0.253610700	0.034565130	0.000000000	0.021320950	0.005985209	0.000000000
00:00:00.240	0.596815800	0.249621000	0.050429520	0.000000000	0.020319490	0.008602872	0.000000000
00:00:00.260	0.593788000	0.246093500	0.065580380	0.000000000	0.019404370	0.011085290	0.000000000
00:00:00.280	0.590678900	0.242735300	0.080185700	0.000000000	0.018537110	0.013453940	0.000000000
00:00:00.300	0.587553900	0.239906800	0.094123920	0.000000000	0.017757200	0.015642100	0.000000000
00:00:00.320	0.584167500	0.237508200	0.107479500	0.000000000	0.017112270	0.017841040	0.000000000
00:00:00.340	0.573011900	0.227509400	0.127645400	0.000972469	0.017619540	0.027075600	0.000097729
00:00:00.360	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.380	0.552766400	0.208452400	0.164701500	0.006001774	0.019911360	0.036578790	0.000086692
00:00:00.400	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.420	0.535492100	0.190053500	0.193168000	0.012282670	0.027992110	0.046030590	0.000076902
00:00:00.440	0.525679100	0.182743500	0.207062200	0.015782550	0.030192410	0.053887920	0.000072430
00:00:00.460	0.517170400	0.174948700	0.219675000	0.023939240	0.030114890	0.056483930	0.000068218
00:00:00.480	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.500	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.520	0.497785200	0.188406100	0.183535000	0.020000850	0.026046670	0.047191430	0.000056995
00:00:00.540	0.490721500	0.191020000	0.202489300	0.018837700	0.024576040	0.047283390	0.000053680
00:00:00.560	0.483726200	0.193028700	0.220280400	0.017742190	0.023181810	0.047622230	0.000050559
00:00:00.580	0.474594400	0.182909400	0.239503000	0.017611240	0.021833670	0.057662740	0.000047618
00:00:00.600	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.620	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.640	0.447244600	0.159138300	0.283377500	0.029816420	0.023880950	0.078028480	0.000039784
00:00:00.660	0.441309000	0.152599700	0.294117200	0.030816540	0.026804340	0.082734480	0.000037471
00:00:00.680	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.700	0.426665700	0.137711400	0.318666700	0.040107880	0.027374930	0.090298900	0.000033239
00:00:00.720	0.421581700	0.132392300	0.325504700	0.040590560	0.029884530	0.097097460	0.000031306
00:00:00.740	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.760	0.419595800	0.119381200	0.331278800	0.050260630	0.035615700	0.105749100	0.000027771
00:00:00.780	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.800	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.819	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.840	0.421641200	0.096974670	0.332317700	0.079025080	0.045050340	0.117821000	0.000021853
00:00:00.860	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.880	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
00:00:00.900	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED
